Original URL,Expected Final URL,Actual Final URL,Status,Error Message
"https://thestorageadvantage.com","https://thestorageadvantage.com","https://thestorageadvantage.com/","PASS",""
"https://sunbirdstorage.com","https://sunbirdstorage.com","https://sunbirdstorage.com/","PASS",""
"https://thestorageplace.org","https://thestorageplace.org","https://thestorageplace.org/","PASS",""
"https://storesafetn.selfstorageunitsnearby.com","https://storesafetn.selfstorageunitsnearby.com","https://selfstorageunitsnearby.com/","FAIL",""
"https://topekaselfstorage.thestorageadvantage.com","https://topekaselfstorage.thestorageadvantage.com","https://topekaselfstorage.thestorageadvantage.com/","PASS",""
"https://ulok.com","https://ulok.com","https://ulok.com/","PASS",""
"https://trilinkstorage.thestorageadvantage.com","https://trilinkstorage.thestorageadvantage.com","https://www.trilinkstorage.com/","FAIL",""
"https://thestoragespace.thestorageadvantage.com","https://thestoragespace.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-near-me","FAIL",""
"https://thunderboltselfstorage.victorystoragegroup.com","https://thunderboltselfstorage.victorystoragegroup.com","https://thunderboltselfstorage.victorystoragegroup.com/storage-units/georgia/savannah/east-victory-drive","FAIL",""
"https://ww2.storageonly.ca","https://ww2.storageonly.ca","ERROR","ERROR","page.goto: net::ERR_NAME_NOT_RESOLVED at https://ww2.storageonly.ca/
Call log:
  [2m- navigating to "https://ww2.storageonly.ca/", waiting until "domcontentloaded"[22m
"
"https://victorystoragegroup.com","https://victorystoragegroup.com","https://victorystoragegroup.com/","PASS",""
"https://usarent-a-space.com","https://usarent-a-space.com","https://usarent-a-space.com/","PASS",""
"https://victorydriveselfstorage.victorystoragegroup.com","https://victorydriveselfstorage.victorystoragegroup.com","https://victorydriveselfstorage.victorystoragegroup.com/storage-units/georgia/thunderbolt/downing-street","FAIL",""
"https://ww2.carolinasecurestorage.com","https://ww2.carolinasecurestorage.com","https://10federalstorage.com/storage-units-rocky-mount","FAIL",""
"https://www.hi-desertstorage.com","https://www.hi-desertstorage.com","https://www.hi-desertstorage.com/","PASS",""
"https://www.21css.com","https://www.21css.com","https://www.21css.com/","PASS",""
"https://www.anytimeselfstorageusa.com","https://www.anytimeselfstorageusa.com","https://www.anytimeselfstorageusa.com/","PASS",""
"https://www.bestboxstorage.com","https://www.bestboxstorage.com","https://www.bestboxstorage.com/","PASS",""
"https://www.10federalselfstorage.com","https://www.10federalselfstorage.com","ERROR","ERROR","page.goto: net::ERR_CERT_DATE_INVALID at https://www.10federalselfstorage.com/
Call log:
  [2m- navigating to "https://www.10federalselfstorage.com/", waiting until "domcontentloaded"[22m
"
"https://www.mod-storage.com","https://www.mod-storage.com","https://www.mod-storage.com/","PASS",""
"https://www.storeallpurpose.com","https://www.storeallpurpose.com","https://www.storeallpurpose.com/","PASS",""
"https://www.trilinkstorage.com","https://www.trilinkstorage.com","https://www.trilinkstorage.com/","PASS",""
"https://yourpremierstorage.com","https://yourpremierstorage.com","https://yourpremierstorage.com/","PASS",""
"https://www.storagestar.com","https://www.storagestar.com","https://www.storagestar.com/","PASS",""
